               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.066901,            0.018879,                   0,             0.72182,             0.97727,             0.86881,             0.35038,            0.058885,            0.017851,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.053316,            0.019549,                   0,             0.72182,             0.97727,             0.86881,             0.35038,            0.058885,            0.017851,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.054836,            0.016602,                   0,             0.66337,              0.9406,             0.85025,             0.32077,            0.059595,            0.017229,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.058066,            0.019633,                   0,              0.4617,             0.97727,             0.46919,             0.23152,            0.065321,            0.018441,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,            0.067613,            0.019397,                   0,             0.42155,                   1,              0.4588,             0.19792,            0.067973,            0.016333,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,             0.06312,            0.017487,                   0,             0.42155,                   1,              0.4588,             0.19792,            0.067973,            0.016333,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.057313,            0.021399,                   0,             0.48061,             0.92538,             0.68001,             0.24579,            0.060897,            0.015808,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.056764,            0.018852,                   0,             0.70001,             0.77273,             0.81384,             0.31795,            0.059103,            0.015975,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.062037,            0.019324,                   0,             0.83167,             0.95455,             0.92149,             0.51591,            0.049191,            0.015227,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.051334,            0.020908,                   0,             0.83167,             0.95455,             0.92149,             0.51591,            0.049191,            0.015227,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.044753,            0.015128,                   0,             0.84967,             0.95455,             0.96008,              0.5719,            0.046073,            0.015182,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,            0.047432,            0.020829,                   0,             0.97365,                   1,               0.991,             0.56799,            0.046394,            0.015447,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,            0.048992,            0.018784,                   0,             0.58107,             0.85122,             0.76438,             0.21705,            0.062271,            0.016185,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,            0.063081,             0.01797,                   0,             0.58107,             0.85122,             0.76438,             0.21705,            0.062271,            0.016185,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.052985,            0.017631,                   0,             0.91646,             0.99738,             0.94597,             0.43241,            0.049646,             0.01487,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.052745,            0.016719,                   0,             0.50635,             0.97727,             0.68223,             0.21707,            0.058195,            0.015285,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.056795,            0.016675,                   0,             0.89631,             0.93182,             0.91641,             0.30034,            0.059876,            0.014802,                   0,            0.009307,            0.009307,            0.009307
                  72,             0.05705,            0.018997,                   0,             0.89631,             0.93182,             0.91641,             0.30034,            0.059876,            0.014802,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.053622,            0.017286,                   0,             0.60498,             0.97727,             0.78111,             0.33772,            0.053522,            0.014731,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.051683,            0.017513,                   0,             0.93475,             0.97669,             0.96883,             0.45378,            0.050457,            0.013835,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.051947,            0.017303,                   0,             0.98861,                   1,               0.995,             0.39517,            0.052241,            0.014035,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.055918,             0.01879,                   0,             0.98861,                   1,               0.995,             0.39517,            0.052241,            0.014035,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.044985,            0.014278,                   0,             0.99178,                   1,               0.995,              0.5939,            0.042542,            0.013999,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.051615,            0.016594,                   0,             0.46664,             0.81818,             0.54438,              0.1663,            0.065241,            0.014119,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.059489,            0.017581,                   0,             0.99371,                   1,               0.995,             0.58623,            0.041576,             0.01369,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.047041,            0.017327,                   0,             0.99371,                   1,               0.995,             0.58623,            0.041576,             0.01369,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.040271,            0.014953,                   0,              0.9941,                   1,               0.995,             0.58211,            0.041086,              0.0135,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.044026,            0.015972,                   0,             0.94953,                   1,             0.98609,             0.48278,            0.048246,            0.013551,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.047414,            0.018674,                   0,             0.56508,             0.82688,             0.71036,             0.26984,            0.060358,            0.014589,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.059813,            0.014647,                   0,             0.56508,             0.82688,             0.71036,             0.26984,            0.060358,            0.014589,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,            0.055239,            0.015186,                   0,             0.53242,                   1,             0.55452,             0.30109,            0.048913,             0.01407,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.051438,             0.01691,                   0,             0.55391,             0.93182,             0.70417,             0.26879,            0.055518,            0.013358,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.052302,            0.018556,                   0,             0.93239,                   1,             0.98661,             0.54989,            0.046637,            0.013094,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.050683,            0.015514,                   0,             0.93239,                   1,             0.98661,             0.54989,            0.046637,            0.013094,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,            0.050794,            0.017245,                   0,             0.99297,                   1,               0.995,             0.56749,            0.046855,            0.012758,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.047715,            0.016552,                   0,              0.9967,                   1,               0.995,             0.46149,            0.045443,            0.012587,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.047461,            0.014944,                   0,             0.71078,                   1,             0.89107,             0.46269,            0.046658,            0.013103,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.050894,            0.014873,                   0,             0.71078,                   1,             0.89107,             0.46269,            0.046658,            0.013103,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.045806,            0.014624,                   0,             0.78568,                   1,             0.93188,             0.54238,            0.042925,            0.012984,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.046109,            0.014361,                   0,             0.70879,             0.97727,             0.82854,             0.40883,            0.049756,            0.012884,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.049499,            0.017715,                   0,             0.82709,                   1,              0.9544,             0.50254,            0.049096,            0.012517,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,             0.05108,            0.014062,                   0,             0.82709,                   1,              0.9544,             0.50254,            0.049096,            0.012517,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,             0.04683,            0.013826,                   0,             0.81924,                   1,             0.95041,             0.56875,            0.045551,            0.012421,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.046127,             0.01474,                   0,             0.84724,                   1,              0.9656,             0.49089,            0.043636,            0.012652,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.046164,            0.015689,                   0,             0.69697,             0.95455,             0.86269,             0.46071,            0.047547,            0.012865,                   0,           0.0090298,           0.0090298,           0.0090298
